""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"zOTU_1440"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Desemzia"	"g _Desemzia"
"zOTU_117"	295.353572301592	1.19400468960223	0.473257346385965	2.52295014270832	0.011637489931007	0.174562348965105	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"f_Enterococcaceae"	"f_Enterococcaceae"
"zOTU_134"	232.203009439301	1.3311529336624	0.576001641243691	2.31102281373401	0.0208315948023112	0.246016953758081	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"g _Enterococcus"
"zOTU_1556"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Macrococcus"	"g _Macrococcus"
"zOTU_1669"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Macrococcus"	"Macrococcus caseolyticus"
"zOTU_2000"	5.4371542428703	0.389357893940778	0.675423999839454	0.576464404630762	0.564301322829535	0.964717392090716	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"f_Bacillaceae"	"f_Bacillaceae"
"zOTU_3165"	0.266671231567657	0.390028718600779	2.52675731082501	0.154359390563485	0.877326371477305	0.964717392090716	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"o_Bacillales"	"o_Bacillales"	"o_Bacillales"
"zOTU_2282"	0.233183567489855	0.961412056019131	2.22697009292761	0.431713052219414	0.665949979860717	0.964717392090716	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus firmus"
"zOTU_3477"	0.750289587186148	-1.97902412134649	1.37427955773625	-1.44004479307427	0.149854726623905	0.591531815620679	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Sporosarcina"	"g _Sporosarcina"
"zOTU_2"	16735.5541206006	-0.218764420568277	0.219667756076684	-0.995887719142125	0.319304702940143	0.772511378080992	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	"g _Lactococcus"
"zOTU_10"	242.009577212354	0.145577185207509	0.368624355397394	0.394920148590208	0.692901819690309	0.964717392090716	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"g _Streptococcus"
"zOTU_12"	75.3578630197009	0.348875530803979	0.411749633866438	0.847300160361881	0.396827837294459	0.826724661030122	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus luteciae"
"zOTU_18"	9829.17950201801	-1.21711927086601	0.429989925664255	-2.8305762489337	0.00464642347043212	0.116160586760803	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"g _Lactobacillus"
