OTU_ID	NXT075Mao01	NXT075Mao02	NXT075Mao03	NXT075Mao04	NXT075Mao05	NXT075Mao06	NXT075Mao07	NXT075Mao08	NXT075Mao09	NXT075Mao100	NXT075Mao101	NXT075Mao102	NXT075Mao103	NXT075Mao104	NXT075Mao105	NXT075Mao106	NXT075Mao107	NXT075Mao108	NXT075Mao109	NXT075Mao10	NXT075Mao110	NXT075Mao111	NXT075Mao112	NXT075Mao113	NXT075Mao114	NXT075Mao115	NXT075Mao116	NXT075Mao117	NXT075Mao118	NXT075Mao119	NXT075Mao11	NXT075Mao120	NXT075Mao121	NXT075Mao122	NXT075Mao123	NXT075Mao124	NXT075Mao125	NXT075Mao126	NXT075Mao127	NXT075Mao128	NXT075Mao129	NXT075Mao12	NXT075Mao130	NXT075Mao131	NXT075Mao132	NXT075Mao133	NXT075Mao134	NXT075Mao135	NXT075Mao136	NXT075Mao137	NXT075Mao138	NXT075Mao139	NXT075Mao13	NXT075Mao140	NXT075Mao141	NXT075Mao142	NXT075Mao143	NXT075Mao144	NXT075Mao145	NXT075Mao146	NXT075Mao147	NXT075Mao148	NXT075Mao149	NXT075Mao14	NXT075Mao150	NXT075Mao151	NXT075Mao152	NXT075Mao153	NXT075Mao154	NXT075Mao155	NXT075Mao156	NXT075Mao157	NXT075Mao158	NXT075Mao159	NXT075Mao15	NXT075Mao160	NXT075Mao161	NXT075Mao162	NXT075Mao163	NXT075Mao164	NXT075Mao165	NXT075Mao166	NXT075Mao167	NXT075Mao168	NXT075Mao169	NXT075Mao16	NXT075Mao170	NXT075Mao171	NXT075Mao172	NXT075Mao173	NXT075Mao174	NXT075Mao175	NXT075Mao176	NXT075Mao177	NXT075Mao178	NXT075Mao179	NXT075Mao17	NXT075Mao180	NXT075Mao181	NXT075Mao182	NXT075Mao183	NXT075Mao184	NXT075Mao185	NXT075Mao186	NXT075Mao187	NXT075Mao188	NXT075Mao189	NXT075Mao18	NXT075Mao190	NXT075Mao191	NXT075Mao192	NXT075Mao193	NXT075Mao194	NXT075Mao195	NXT075Mao196	NXT075Mao198	NXT075Mao199	NXT075Mao19	NXT075Mao200	NXT075Mao201	NXT075Mao202	NXT075Mao203	NXT075Mao204	NXT075Mao205	NXT075Mao206	NXT075Mao207	NXT075Mao208	NXT075Mao209	NXT075Mao20	NXT075Mao210	NXT075Mao211	NXT075Mao212	NXT075Mao213	NXT075Mao214	NXT075Mao215	NXT075Mao216	NXT075Mao217	NXT075Mao218	NXT075Mao219	NXT075Mao21	NXT075Mao220	NXT075Mao221	NXT075Mao222	NXT075Mao223	NXT075Mao224	NXT075Mao225	NXT075Mao226	NXT075Mao227	NXT075Mao228	NXT075Mao229	NXT075Mao22	NXT075Mao230	NXT075Mao231	NXT075Mao232	NXT075Mao233	NXT075Mao234	NXT075Mao235	NXT075Mao236	NXT075Mao237	NXT075Mao238	NXT075Mao23	NXT075Mao240	NXT075Mao241	NXT075Mao242	NXT075Mao243	NXT075Mao244	NXT075Mao245	NXT075Mao246	NXT075Mao247	NXT075Mao248	NXT075Mao249	NXT075Mao24	NXT075Mao250	NXT075Mao251	NXT075Mao252	NXT075Mao253	NXT075Mao254	NXT075Mao255	NXT075Mao256	NXT075Mao257	NXT075Mao258	NXT075Mao259	NXT075Mao25	NXT075Mao260	NXT075Mao261	NXT075Mao262	NXT075Mao263	NXT075Mao264	NXT075Mao265	NXT075Mao266	NXT075Mao267	NXT075Mao268	NXT075Mao269	NXT075Mao26	NXT075Mao270	NXT075Mao271	NXT075Mao272	NXT075Mao273	NXT075Mao274	NXT075Mao275	NXT075Mao276	NXT075Mao277	NXT075Mao278	NXT075Mao279	NXT075Mao27	NXT075Mao280	NXT075Mao281	NXT075Mao282	NXT075Mao283	NXT075Mao284	NXT075Mao285	NXT075Mao286	NXT075Mao287	NXT075Mao288	NXT075Mao289	NXT075Mao28	NXT075Mao290	NXT075Mao29	NXT075Mao30	NXT075Mao31	NXT075Mao32	NXT075Mao33	NXT075Mao34	NXT075Mao35	NXT075Mao36	NXT075Mao37	NXT075Mao38	NXT075Mao39	NXT075Mao40	NXT075Mao41	NXT075Mao42	NXT075Mao43	NXT075Mao44	NXT075Mao45	NXT075Mao46	NXT075Mao47	NXT075Mao48	NXT075Mao49	NXT075Mao50	NXT075Mao51	NXT075Mao52	NXT075Mao53	NXT075Mao54	NXT075Mao55	NXT075Mao56	NXT075Mao57	NXT075Mao58	NXT075Mao59	NXT075Mao60	NXT075Mao61	NXT075Mao62	NXT075Mao63	NXT075Mao64	NXT075Mao65	NXT075Mao66	NXT075Mao67	NXT075Mao68	NXT075Mao69	NXT075Mao70	NXT075Mao71	NXT075Mao72	NXT075Mao73	NXT075Mao74	NXT075Mao75	NXT075Mao76	NXT075Mao77	NXT075Mao78	NXT075Mao79	NXT075Mao80	NXT075Mao81	NXT075Mao82	NXT075Mao83	NXT075Mao84	NXT075Mao85	NXT075Mao86	NXT075Mao87	NXT075Mao88	NXT075Mao89	NXT075Mao90	NXT075Mao91	NXT075Mao92	NXT075Mao93	NXT075Mao94	NXT075Mao95	NXT075Mao96	NXT075Mao97	NXT075Mao98	NXT075Mao99	taxonomy
zOTU_2833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	34	0	12	0	0	0	0	1	0	0	0	1	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Ruminococcus;s__
zOTU_1275	0	0	0	0	0	0	0	0	0	0	0	2	17	2	1	0	0	7	0	0	12	7	0	1	0	0	0	5	1	0	0	8	0	0	0	5	0	0	0	3	1	0	1	0	6	0	4	0	0	7	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	9	4	5	6	0	4	13	0	0	0	3	11	0	0	0	0	0	1	1	3	0	0	8	0	0	4	1	26	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	5	0	2	0	0	0	1	1	0	0	0	2	0	0	0	0	2	3	2	7	0	0	0	1	1	2	0	4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	6	11	0	8	4	0	0	0	0	0	7	2	0	0	37	2	0	11	0	10	0	0	0	91	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	32	2	27	14	21	1	0	3	0	0	0	4	0	2	0	0	0	0	5	0	2	0	1	16	0	45	0	0	0	0	12	k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__;s__
zOTU_1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	55	2	0	24	5	37	3	0	0	0	0	213	0	1	0	13	0	13	0	3	1	0	0	0	2	0	7	57	0	0	2	0	11	11	38	2	51	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
zOTU_2211	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	3	0	0	0	0	0	3	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	2	1	0	0	3	0	0	1	0	0	2	0	0	0	0	1	1	2	5	1	0	0	1	2	0	0	4	0	1	1	6	10	0	2	0	0	4	5	2	2	0	3	7	8	2	0	16	1	2	2	0	1	0	3	1	2	0	2	2	0	2	1	0	1	2	3	0	0	1	2	3	5	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	2	0	0	1	1	0	3	0	0	2	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	2	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__
zOTU_4599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__;s__
zOTU_1530	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	12	17	0	0	16	5	0	5	3	0	0	0	0	0	0	4	9	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	4	0	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	24	0	0	24	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	19	0	0	0	25	0	0	3	3	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	11	0	0	5	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	24	0	45	33	0	0	0	0	0	7	13	0	0	0	0	0	0	0	9	0	0	0	4	0	0	2	0	13	0	0	0	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
zOTU_4121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__;s__
zOTU_1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	6	0	0	0	0	0	0	33	502	290	9	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
zOTU_1466	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	4	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	15	8	0	0	31	1	10	1	1	0	0	0	0	9	0	0	0	12	3	0	0	0	0	12	0	0	8	0	45	0	0	0	3	0	0	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	36	0	0	0	0	0	0	10	5	0	0	0	0	0	45	0	0	0	16	8	26	0	0	9	2	0	0	0	0	13	1	0	0	0	0	0	30	2	21	0	2	2	0	8	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	4	0	4	9	0	3	0	4	5	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	2	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
zOTU_2258	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	1	0	0	0	1	2	1	0	2	1	0	1	0	1	0	0	3	1	1	4	1	0	2	0	0	1	0	3	0	1	2	2	3	0	0	0	0	2	0	0	1	2	2	2	0	0	2	0	2	0	0	1	1	0	0	1	0	0	1	3	0	1	4	0	0	3	2	0	0	2	2	2	0	0	2	2	0	2	0	0	0	0	1	5	1	1	3	1	1	0	2	3	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	11	1	3	0	1	3	5	1	0	0	0	5	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	2	0	0	1	1	2	2	0	0	0	0	3	0	0	1	0	3	0	4	2	0	0	1	0	0	0	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
zOTU_5080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
zOTU_3392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	18	0	1	0	1	0	0	0	4	1	3	0	0	1	2	1	4	0	0	0	0	0	2	0	2	0	0	1	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
zOTU_1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	4	4	0	0	0	3	4	12	6	3	5	2	28	14	9	0	1	15	4	3	2	0	0	6	3	3	0	12	21	0	3	11	1	2	12	2	15	0	0	9	0	9	2	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
zOTU_3692	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__anthracis
zOTU_3965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	3	1	0	0	4	0	1	0	0	0	0	0	3	0	2	0	0	1	0	0	0	1	1	2	0	1	1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__
zOTU_2410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	1	128	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__
zOTU_1689	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	2	0	16	1	0	0	0	0	2	0	1	0	9	0	0	2	1	3	0	0	1	0	0	0	0	2	7	0	0	0	1	0	6	0	0	0	0	22	0	2	0	5	1	0	0	10	0	0	0	0	0	0	0	1	0	0	2	0	1	6	0	0	0	0	1	0	1	32	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	4	3	1	0	0	0	6	4	5	8	2	5	1	9	2	2	0	0	1	3	9	0	3	3	0	3	2	0	18	20	3	1	0	0	0	6	3	1	0	0	7	0	1	0	1	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	22	0	1	0	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	2	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	3	0	0	0	0	4	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
